timestamp,媒体,媒体_自由記述,負担のタイプ,負担のタイプ_自由記述,性別,失敗フラグ
"2026-05-01T07:31:49.426Z","SNS","","答えたくない","","男性","1"
"2026-05-01T07:38:57.728Z","メール・チャット・通知","","情報量が多く、追いきれない","","女性","0"
"2026-05-01T07:39:38.572Z","メール・チャット・通知","","調べても次々に情報が出てきて、終わりが見えない","","男性","0"
"2026-05-01T07:40:37.620Z","SNS","","情報量が多く、追いきれない","","男性","0"
"2026-05-01T07:41:06.305Z","特にない / 答えたくない","","内容が難しく、理解に時間がかかる","","男性","0"
"2026-05-01T07:41:28.287Z","AIチャット・AI検索","","選択肢が多く、選ぶのに迷う","","","0"
"2026-05-01T07:42:00.508Z","SNS","","調べても次々に情報が出てきて、終わりが見えない","","男性","0"
"2026-05-01T07:43:47.722Z","その他","人","情報量が多く、追いきれない","","男性","0"
