timestamp,媒体,媒体_自由記述,負担のタイプ,負担のタイプ_自由記述,性別,失敗フラグ
"2026-05-01T07:33:36.352Z","AIチャット・AI検索","","情報量が多く、追いきれない","","男性","0"
"2026-05-01T07:39:18.315Z","新聞・雑誌","","情報量が多く、追いきれない","","男性","0"
"2026-05-01T07:40:18.456Z","新聞・雑誌","","内容が難しく、理解に時間がかかる","","男性","0"
"2026-05-01T07:41:08.204Z","SNS","","調べても次々に情報が出てきて、終わりが見えない","","男性","0"
"2026-05-01T07:41:57.796Z","SNS","","内容が難しく、理解に時間がかかる","","男性","0"
"2026-05-01T07:42:29.974Z","SNS","","情報量が多く、追いきれない","","男性","0"
"2026-05-01T07:42:50.555Z","SNS","","情報量が多く、追いきれない","","男性","0"
"2026-05-01T07:43:41.035Z","AIチャット・AI検索","","調べても次々に情報が出てきて、終わりが見えない","","男性","0"
